2023-06-18 20:56:21,373 INFO    StreamThr :11866 [internal.py:wandb_internal():86] W&B internal server running at pid: 11866, started at: 2023-06-18 20:56:21.373501
2023-06-18 20:56:21,375 DEBUG   HandlerThread:11866 [handler.py:handle_request():144] handle_request: status
2023-06-18 20:56:21,376 INFO    WriterThread:11866 [datastore.py:open_for_write():85] open: /home/admin/startup_assignments/enterpret/code/wandb/run-20230618_205615-a1wu7ai7/run-a1wu7ai7.wandb
2023-06-18 20:56:21,379 DEBUG   SenderThread:11866 [sender.py:send():369] send: header
2023-06-18 20:56:21,380 DEBUG   SenderThread:11866 [sender.py:send():369] send: run
2023-06-18 20:56:22,057 INFO    SenderThread:11866 [dir_watcher.py:__init__():211] watching files in: /home/admin/startup_assignments/enterpret/code/wandb/run-20230618_205615-a1wu7ai7/files
2023-06-18 20:56:22,057 INFO    SenderThread:11866 [sender.py:_start_run_threads():1100] run started: a1wu7ai7 with start time 1687101980.711881
2023-06-18 20:56:22,074 DEBUG   SenderThread:11866 [sender.py:send_request():396] send_request: summary_record
2023-06-18 20:56:22,074 INFO    SenderThread:11866 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-06-18 20:56:22,084 DEBUG   HandlerThread:11866 [handler.py:handle_request():144] handle_request: check_version
2023-06-18 20:56:22,085 DEBUG   SenderThread:11866 [sender.py:send_request():396] send_request: check_version
2023-06-18 20:56:22,228 DEBUG   HandlerThread:11866 [handler.py:handle_request():144] handle_request: run_start
2023-06-18 20:56:22,232 DEBUG   HandlerThread:11866 [system_info.py:__init__():31] System info init
2023-06-18 20:56:22,232 DEBUG   HandlerThread:11866 [system_info.py:__init__():46] System info init done
2023-06-18 20:56:22,232 INFO    HandlerThread:11866 [system_monitor.py:start():181] Starting system monitor
2023-06-18 20:56:22,233 INFO    SystemMonitor:11866 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-18 20:56:22,235 INFO    HandlerThread:11866 [system_monitor.py:probe():201] Collecting system info
2023-06-18 20:56:22,235 INFO    SystemMonitor:11866 [interfaces.py:start():190] Started cpu monitoring
2023-06-18 20:56:22,236 INFO    SystemMonitor:11866 [interfaces.py:start():190] Started disk monitoring
